author.privateAccount,author.uniqueId,author.verified,authorStats.followerCount,authorStats.heartCount,authorStats.videoCount,createTime,desc,music.authorName,music.isCopyrighted,music.title,stats.commentCount,stats.diggCount,stats.playCount,stats.shareCount,video.bitrate,video.claInfo.enableAutoCaption,video.claInfo.hasOriginalAudio,video.codecType,video.definition,video.duration,video.format,video.height,video.videoQuality,video.width,hashtags
False,1phutsaigon,False,198700,4100000,847,1741097297,Kem chiên ký tuổi thơ mãi ngon #1phutsaigon #saigon #saigondidau #saigonangi #kemchien #kemky ,1 phút Sài Gòn,True,nhạc nền - 1 phút Sài Gòn,43,3069,162400,1533,1521668.0,True,True,h264,540p,22,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #saigonangi #kemchien #kemky
False,1phutsaigon,False,198700,4100000,847,1741010855,Cư dân quận 2 nhất định phải ghé quán cafe đẹp như triển lãm này nha #1phutsaigon #saigon #saigondidau #cafesaigon #lipocafe #lipocafequan2 ,1 phút Sài Gòn,True,nhạc nền - 1 phút Sài Gòn,11,4852,25800,83,1455659.0,True,True,h264,540p,28,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #cafesaigon #lipocafe #lipocafequan2
False,1phutsaigon,False,198700,4100000,847,1740804900,"Quán cafe hot hit nhất nhì Sài Gòn nay có thêm chi nhánh mới, siêu rộng và xinh như bước ra từ Pinterest #1phutsaigon #saigon #saigondidau #nhamcoffee #nhamcoffeebinhthanh ",1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,26,6506,41600,283,3243905.0,True,True,h264,540p,23,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #nhamcoffee #nhamcoffeebinhthanh
False,1phutsaigon,False,198700,4100000,847,1740748537,"Triển lãm Inter-be, Inter-are (Ta có trong nhau) đang diễn ra #1phutsaigon #saigon #saigondidau #trienlamnghethuat #interbeinterare #tacotrongnhau ",1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,55,5111,34800,300,905530.0,True,True,h264,540p,30,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #trienlamnghethuat #interbeinterare #tacotrongnhau
False,1phutsaigon,False,198700,4100000,847,1740665813,Bao lâu rồi ta chưa đón hoàng hôn cùng nhau? #1phutsaigon #saigon #saigondidau #rooftopsaigon #changvangrooftop #hoanghon ,1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,1,89,3413,18,2853481.0,True,True,h264,540p,23,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #rooftopsaigon #changvangrooftop #hoanghon
False,1phutsaigon,False,198700,4100000,847,1740493024,Ai bánh mì không? #1phutsaigon #saigon #saigondidau #saigonangi #streetfoodsaigon #streetfood #banhmi ,1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,3,253,8952,50,1994591.0,True,True,h264,540p,21,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #saigonangi #streetfoodsaigon #streetfood #banhmi
False,1phutsaigon,False,198700,4100000,847,1740407042,Ủng hộ sạp hủ tiếu xào của bà cụ u90 mưu sinh tuổi xế chiều #1phutsaigon #saigon #saigondidau #saigonangi #saigonthuongnhau #hutieu ,1 phút Sài Gòn,True,nhạc nền - 1 phút Sài Gòn,10,369,11100,57,1864289.0,True,True,h264,540p,22,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #saigonangi #saigonthuongnhau #hutieu
False,1phutsaigon,False,198700,4100000,847,1740320524,8/3 này bạn biết phải tặng gì cho người thương rùi đó #1phutsaigon #saigon #saigondidau #8thang3 #dienhoavietnam #hoa #flowers #gift ,1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,28,5165,31000,90,2693285.0,True,True,h264,540p,30,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #8thang3 #dienhoavietnam #hoa #flowers #gift
False,1phutsaigon,False,198700,4100000,847,1740233026,Tôi yêu hiệu ứng mọi người rủ nhau đi xem xiếc ủng hộ nghệ thuật nước nhà 🫶 #1phutsaigon #saigon #saigondidau #xiec #vungdatkibi #nghethuatxiec ,1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,14,94,5794,46,2331445.0,True,True,h264,540p,24,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #xiec #vungdatkibi #nghethuatxiec
False,1phutsaigon,False,198700,4100000,847,1740143422,"Cửa hàng Phụ Kiện Decor - chuyên đồ trang trí Quán Cafe, Quán Ăn, Nhà Hàng, Salon, Shop... núp hẻm siêu xinh và siêu rộng rãi ở Sài Gòn #1phutsaigon #saigon #saigondidau #phukiendecor #cuahangdecor #cuahangbandotrangtri ",1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,81,6381,42400,228,3061424.0,True,True,h264,540p,29,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #phukiendecor #cuahangdecor #cuahangbandotrangtri
False,1phutsaigon,False,198700,4100000,847,1740061853,Sài Gòn có chỗ tụ tập hẹn hò chill vậy mà giờ mình mới biết luôn #1phutsaigon #saigon #saigondidau #rooftopsaigon #cuirooftop #cuirooftopquan10 ,1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,128,2446,21800,67,1939440.0,True,True,h264,540p,25,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #rooftopsaigon #cuirooftop #cuirooftopquan10
False,1phutsaigon,False,198700,4100000,847,1739974067,"Không ngờ ngay khu Phú Mỹ Hưng lại có một tiệm ăn chuẩn vị Hàn, món nào cũng ổn áp và chất lượng lắm #1phutsaigon #saigon #saigondidau #saigonangi #nhahangbaoboi #quan7 #koreanfood #baoboi ",1 phút Sài Gòn,False,nhạc nền - 1 phút Sài Gòn,33,1945,61800,749,2300125.0,True,True,h264,540p,31,mp4,1024,normal,576,#1phutsaigon #saigon #saigondidau #saigonangi #nhahangbaoboi #quan7 #koreanfood #baoboi
